# generated by cr_sim.data.engagement -- regenerate, do not hand-edit
# rows are defenders, columns are attackers, tournament standard.
# cell is 'hits alone / troop hits + tower hits when a Princess Tower fires too', both engaged from tick zero.
card,AngryBarbarians,Archer,ArcherQueen,Archer_EV1,Arrows,Assassin,AxeMan,BabyDragon,Balloon,BarbLog,Barbarians,Barbarians_EV1,Bats,BattleHealer,BattleRam,Berserker,BlowdartGoblin,BombTower,Bomber,BossBandit,Bowler,BushGoblin,Cannon,DarkPrince,DarkWitch,DartBarrell,ElectroDragon,ElectroGiant,ElectroSpirit,ElectroWizard,EliteArcher,ElixirGolem,ElixirGolem2,ElixirGolem4,FireSpirits,Fireball,Firecracker,FirespiritHut,Fisherman,Freeze,Ghost,Giant,GiantBuffer,GiantSkeleton,GoblinDemolisher,GoblinGang,GoblinGiant,GoblinMachine,Goblins,Goblinstein,GoldenKnight,Golem,Golemite,Heal,HogRider,IceGolemite,IceSpirits,IceWizard,InfernoDragon,InfernoTower,KingTower,Knight,LavaHound,LavaPups,Lightning,LittlePrince,Log,MegaKnight,MegaMinion,MightyMiner,Miner,MiniPekka,MiniSparkys,MinionHorde,Minions,Monk,Mortar,MovingCannon,Musketeer,Musketeer_EV1,Pekka,Phoenix,Prince,RageBarbarian,RamRider,RascalGirl,Rascals,Rocket,Ronin,RoyalGiant,RoyalHogs,RoyalRecruits,SkeletonArmy,SkeletonDragons,SkeletonKing,SkeletonWarriors,Skeletons,Snowball,SpearGoblins,Tesla,ThreeMusketeers,Valkyrie,Wallbreakers,Witch,WitchMother,Wizard,Wizard_EV1,Xbow,Zap,ZapMachine,goblinstein_doctor
MightyMiner,6/4+8,21/11+12,10/6+10,21/11+12,7/1+21,12/7+10,13/8+9,14/7+13,,10/1+22,12/6+12,12/6+12,28/10+16,9/5+13,,23/13+11,15/9+10,11/5+13,10/5+13,10/6+9,8/4+12,9/5+11,12/8+9,9/5+10,8/5+8,14/8+11,12/5+15,,23/1+24,20/7+16,17/9+12,,,,11/1+23,4/1+17,36/5+21,13/6+13,12/6+12,16/1+23,9/5+11,,,9/5+10,13/7+11,18/9+13,,10/6+10,18/9+13,,14/9+10,,,21/1+24,,,21/1+24,26/8+17,14/10+7,12/8+6,25/11+14,12/7+10,,28/8+18,3/1+13,22/9+15,9/1+22,9/5+11,8/5+9,13/11+6,12/7+11,3/3+6,20/6+17,22/9+14,22/9+14,17/10+10,9/3+17,11/7+9,11/7+8,11/7+8,3/2+7,11/7+9,6/4+8,9/7+7,,18/10+12,11/6+11,2/1+9,7/4+9,,,17/8+13,28/11+15,15/6+15,12/6+12,20/10+12,28/11+15,13/1+23,28/8+18,11/7+10,12/7+11,9/5+10,,17/9+12,17/9+12,9/5+10,9/5+10,39/22+11,12/1+23,2/2+9,17/6+16
Miner,4/2+5,11/6+7,6/3+6,11/6+7,4/1+10,7/4+5,7/5+6,8/3+8,,6/1+11,7/3+7,7/3+7,15/5+9,5/3+8,,12/7+6,9/5+5,6/3+7,6/3+7,5/4+6,5/2+7,5/3+5,6/4+5,5/3+5,4/3+4,8/4+6,7/3+8,,13/1+13,11/4+9,9/5+7,,,,6/1+11,2/1+6,19/3+12,7/3+8,7/3+7,9/1+12,5/3+7,,,5/3+5,7/4+6,10/5+7,,6/3+6,10/5+7,,8/5+6,,,11/1+12,,,11/1+12,14/4+10,12/8+6,11/7+5,14/6+8,6/4+6,,15/4+10,2/1+2,12/5+8,5/1+11,5/3+6,4/3+6,10/7+5,7/4+6,2/2+4,11/3+10,12/5+8,12/5+8,9/5+6,5/1+11,6/4+4,6/4+5,6/4+5,2/1+4,6/4+5,4/2+5,5/4+4,,10/5+7,6/3+7,1/1+1,4/3+5,,,10/4+8,15/6+8,9/3+9,6/3+7,11/5+7,15/6+8,7/1+12,15/4+10,6/4+6,6/4+6,5/3+6,,9/5+7,10/5+6,5/3+5,5/3+5,21/12+6,7/1+12,1/1+4,9/3+9
MiniPekka,4/3+5,13/6+8,7/4+6,13/6+8,4/1+12,8/5+6,8/5+6,9/4+8,,6/1+13,8/4+7,8/4+7,18/6+10,6/3+8,,14/8+7,10/6+6,7/3+8,7/3+8,6/4+6,5/2+9,6/3+7,7/5+6,6/3+7,5/3+5,9/5+7,8/3+9,,15/1+15,12/4+11,11/5+8,,,,7/1+13,3/1+8,22/3+14,8/4+8,8/4+7,10/1+14,6/3+7,,,6/3+7,8/5+7,12/6+8,,6/4+6,12/6+8,,9/5+7,,,13/1+14,,,13/1+14,16/5+11,12/8+6,11/8+6,16/7+9,7/4+7,,18/5+11,2/1+4,14/6+9,6/1+13,6/3+7,5/3+6,11/8+5,8/4+7,2/2+4,12/4+11,13/6+9,13/6+9,10/6+6,6/2+11,7/5+6,7/4+6,7/4+6,2/2+4,7/4+6,4/3+5,6/4+4,,12/6+7,7/4+8,1/1+1,4/3+5,,,11/5+8,18/7+10,10/4+10,7/4+8,12/6+8,18/7+10,8/1+14,18/5+11,7/4+6,7/4+7,6/3+7,,11/5+8,11/5+8,5/3+6,5/3+6,24/13+7,8/1+14,2/1+4,11/4+10
MiniSparkys,2/1+2,5/3+3,3/2+3,5/3+3,2/1+2,3/2+3,3/2+2,4/1+4,,3/1+4,3/2+4,3/2+4,7/2+4,2/1+3,,6/3+3,4/2+3,3/1+4,3/1+4,3/2+3,2/1+3,3/1+3,3/2+2,2/1+3,2/1+3,4/2+3,3/1+4,,6/1+5,5/2+4,4/2+3,,,,3/1+4,1/1+1,9/1+6,3/1+4,3/1+4,4/1+5,3/1+3,,,2/1+3,3/2+3,5/2+4,,3/2+3,5/2+4,,4/2+3,,,5/1+5,,,5/1+5,6/2+4,8/4+4,7/4+4,6/2+4,3/2+3,,7/2+4,1/1+1,6/2+4,2/1+3,2/1+3,2/1+3,7/5+3,3/2+3,1/1+2,5/1+5,5/2+4,5/2+4,4/2+3,2/1+5,3/2+2,3/2+2,3/2+2,1/1+2,3/2+2,2/1+2,3/2+2,,5/2+4,3/1+4,1/1+1,2/1+2,,,4/2+3,7/2+4,4/1+5,3/1+4,5/2+4,7/2+4,3/1+4,7/2+4,3/2+3,3/2+3,2/1+3,,4/2+3,4/2+3,2/1+3,2/1+3,10/5+3,3/1+4,1/1+4,4/2+4
MinionHorde,,3/1+2,2/1+2,3/1+2,1/1+1,,2/1+1,2/1+2,,1/1+1,,,3/1+2,,,,2/1+1,,,,,,,,,2/1+1,2/1+2,,3/1+2,2/1+2,2/1+2,,,,2/1+1,1/1+1,4/0+3,2/1+2,,2/1+1,,,,,,,,,,,,,,3/1+2,,,3/1+2,3/1+2,6/2+3,6/2+3,3/1+2,,,3/1+2,1/1+1,3/1+2,1/1+1,,1/1+2,,,,2/1+2,3/1+2,3/1+2,,,,2/1+1,2/1+1,,2/1+1,,,,2/1+2,,1/1+1,,,,,,2/1+3,,,,2/1+1,3/1+2,2/1+1,2/1+1,,,2/1+2,2/1+2,1/1+2,1/1+2,,2/1+1,,2/1+2
Minions,,3/1+2,2/1+2,3/1+2,1/1+1,,2/1+1,2/1+2,,1/1+1,,,3/1+2,,,,2/1+1,,,,,,,,,2/1+1,2/1+2,,3/1+2,2/1+2,2/1+2,,,,2/1+1,1/1+1,4/0+3,2/1+2,,2/1+1,,,,,,,,,,,,,,3/1+2,,,3/1+2,3/1+2,6/2+3,6/2+3,3/1+2,,,3/1+2,1/1+1,3/1+2,1/1+1,,1/1+2,,,,2/1+2,3/1+2,3/1+2,,,,2/1+1,2/1+1,,2/1+1,,,,2/1+2,,1/1+1,,,,,,2/1+3,,,,2/1+1,3/1+2,2/1+1,2/1+1,,,2/1+2,2/1+2,1/1+2,1/1+2,,2/1+1,,2/1+2
Monk,6/4+8,20/10+12,10/6+10,20/10+12,7/1+21,12/7+10,13/8+9,14/7+13,,10/1+22,12/6+12,12/6+12,28/10+16,9/5+13,,22/13+10,15/9+10,10/5+12,10/5+12,10/6+9,8/4+12,9/5+11,11/7+9,9/5+10,8/5+8,13/8+11,12/5+14,,23/1+23,19/7+16,17/9+12,,,,11/1+22,4/1+17,35/5+21,13/6+13,12/6+12,15/1+23,9/5+11,,,9/5+10,12/7+10,18/9+12,,10/6+9,18/9+12,,14/9+10,,,21/1+23,,,21/1+23,25/8+17,14/10+7,12/8+6,25/11+14,11/7+10,,28/8+18,3/1+13,22/9+14,9/1+22,9/5+11,8/5+9,13/11+6,12/7+11,3/3+6,19/6+17,21/9+14,21/9+14,16/10+10,9/3+17,11/7+8,11/7+8,11/7+8,3/2+6,11/7+9,6/4+8,9/7+7,,18/9+12,11/6+11,2/1+8,6/4+8,,,17/8+13,28/11+15,15/6+15,11/6+12,19/10+12,28/11+15,13/1+23,28/8+18,11/6+10,11/6+11,9/5+10,,17/9+12,17/9+12,8/5+9,8/5+9,39/21+11,12/1+22,2/2+9,17/6+16
Mortar,4/3+5,13/6+8,7/4+6,13/6+8,4/1+11,8/5+6,8/5+6,9/4+8,3/2+5,6/1+13,8/4+7,8/4+7,17/6+10,6/3+8,5/1+12,14/8+7,10/6+6,7/3+8,7/3+8,6/4+6,5/2+9,6/3+7,7/5+6,6/3+7,5/3+5,9/5+7,8/3+9,9/4+8,14/1+14,12/4+10,11/5+8,6/4+5,11/5+8,22/8+11,7/1+13,2/1+8,22/3+13,8/4+8,8/4+7,10/1+14,6/3+7,6/3+7,9/4+9,5/3+6,8/4+7,11/6+8,8/4+8,6/4+6,11/6+8,11/5+9,9/5+7,5/2+9,17/4+12,13/1+14,5/3+6,17/4+12,13/1+14,16/5+11,12/8+6,11/8+6,15/6+9,7/4+7,26/7+11,17/5+11,2/1+4,14/6+9,6/1+12,6/3+7,5/3+6,11/8+5,8/4+7,2/2+4,12/4+11,13/6+9,13/6+9,10/6+6,6/2+11,7/5+6,7/4+6,7/4+6,2/2+4,7/4+6,4/3+5,6/4+4,6/3+7,11/6+7,7/4+8,1/1+1,4/3+5,5/3+6,19/7+11,11/5+8,17/7+10,10/3+10,7/4+8,12/6+8,17/7+10,8/1+13,17/5+11,7/4+6,7/4+7,6/3+7,5/1+12,11/5+8,11/5+8,5/3+6,5/3+6,24/13+7,8/1+13,2/1+4,11/4+10
MovingCannon,5/4+7,17/8+10,9/5+8,17/8+10,5/1+16,10/6+8,11/6+8,11/5+11,,8/1+18,10/5+10,10/5+10,23/8+13,7/4+10,,18/11+9,12/8+8,9/4+11,9/4+10,8/5+7,7/3+11,8/4+9,9/6+7,7/4+9,6/4+7,11/6+9,10/4+12,,19/1+19,16/6+13,14/7+10,,,,9/1+18,3/1+13,29/4+17,11/5+11,10/5+10,13/1+19,7/4+9,,,7/4+8,10/6+8,15/7+11,,8/5+8,15/7+11,,12/7+8,,,17/1+19,,,17/1+19,21/6+14,13/9+6,11/8+6,20/9+11,9/5+9,,23/7+14,2/1+9,18/7+12,7/1+17,7/4+9,6/4+8,12/10+6,10/5+10,3/2+4,16/5+14,17/7+12,17/7+12,13/8+8,7/2+14,9/6+7,9/6+7,9/6+7,3/2+4,9/6+7,5/3+7,8/5+6,,15/8+10,9/5+9,2/1+4,5/4+7,,,14/6+11,23/9+12,12/5+13,9/5+10,16/8+10,23/9+12,11/1+18,23/7+14,9/5+8,9/5+9,7/4+9,,14/7+10,14/7+10,7/4+8,7/4+8,32/17+9,10/1+18,2/1+6,14/5+13
Musketeer,2/2+3,7/4+4,4/2+3,7/4+4,2/1+4,4/2+4,5/3+3,5/2+5,,4/1+6,4/2+4,4/2+4,9/3+6,3/1+5,,8/4+4,5/3+3,4/2+4,4/2+5,3/2+3,3/1+5,3/2+4,4/3+3,3/2+4,3/2+3,5/3+4,4/2+5,,8/1+7,7/2+6,6/3+4,,,,4/1+6,2/1+1,12/2+7,5/2+4,4/2+4,5/1+7,3/2+4,,,3/2+3,4/2+4,6/3+4,,4/2+3,6/3+4,,5/3+4,,,7/1+7,,,7/1+7,9/2+6,10/5+4,9/4+4,8/3+5,4/2+4,,9/3+6,1/1+1,7/3+5,3/1+5,3/2+4,3/2+4,8/5+4,4/2+4,1/1+2,7/2+6,7/3+5,7/3+5,6/3+4,3/1+5,4/3+3,4/3+3,4/3+3,1/1+2,4/3+4,2/2+3,3/2+3,,6/3+4,4/2+4,1/1+1,2/2+4,,,6/2+5,9/4+5,5/2+5,4/2+4,7/3+5,9/4+5,5/1+6,9/3+6,4/2+4,4/2+4,3/2+4,,6/3+4,6/3+4,3/2+4,3/2+4,13/7+4,4/1+6,1/1+4,6/2+5
Musketeer_EV1,2/2+3,7/4+4,4/2+3,7/4+4,2/1+4,4/2+4,5/3+3,5/2+5,,4/1+6,4/2+4,4/2+4,9/3+6,3/1+5,,8/4+4,5/3+3,4/2+4,4/2+5,3/2+3,3/1+5,3/2+4,4/3+3,3/2+4,3/2+3,5/3+4,4/2+5,,8/1+7,7/2+6,6/3+4,,,,4/1+6,2/1+1,12/2+7,5/2+4,4/2+4,5/1+7,3/2+4,,,3/2+3,4/2+4,6/3+4,,4/2+3,6/3+4,,5/3+4,,,7/1+7,,,7/1+7,9/2+6,10/5+4,9/4+4,8/3+5,4/2+4,,9/3+6,1/1+1,7/3+5,3/1+5,3/2+4,3/2+4,8/5+4,4/2+4,1/1+2,7/2+6,7/3+5,7/3+5,6/3+4,3/1+5,4/3+3,4/3+3,4/3+3,1/1+2,4/3+4,2/2+3,3/2+3,,6/3+4,4/2+4,1/1+1,2/2+4,,,6/2+5,9/4+5,5/2+5,4/2+4,7/3+5,9/4+5,5/1+6,9/3+6,4/2+4,4/2+4,3/2+4,,6/3+4,6/3+4,3/2+4,3/2+4,13/7+4,4/1+6,1/1+4,6/2+5
Pekka,10/7+12,34/18+20,17/10+17,34/18+20,11/1+37,20/12+16,22/13+16,23/11+21,,17/1+39,20/11+19,20/11+19,47/17+26,15/8+20,,37/22+17,25/16+16,17/9+20,17/9+21,16/10+15,14/7+22,15/9+16,19/12+15,15/9+16,12/8+14,22/13+18,20/9+23,,38/1+40,33/11+27,28/15+20,,,,19/1+39,6/1+34,59/9+35,22/10+22,20/11+18,26/1+40,15/8+19,,,14/9+15,21/12+17,31/15+21,,17/10+16,31/15+21,,24/14+17,,,35/1+40,,,35/1+40,43/13+29,18/13+8,14/10+7,41/18+23,19/11+17,,47/14+29,4/1+30,37/15+24,15/1+38,15/8+18,13/8+15,17/14+8,20/11+18,5/4+9,33/10+29,36/15+24,36/15+24,27/16+17,15/5+29,18/12+14,18/11+15,18/11+15,5/4+9,18/11+15,10/7+12,15/11+11,,31/16+20,18/10+19,3/1+25,11/7+13,,,29/13+23,47/18+26,25/10+25,19/10+20,33/16+21,47/18+26,22/1+39,47/14+29,18/11+15,19/11+18,15/9+17,,28/15+20,29/15+20,14/9+16,14/9+16,65/37+19,20/1+39,3/2+12,28/11+25
Phoenix,,10/5+6,5/3+5,10/5+6,3/1+8,,6/4+4,7/3+6,,5/1+9,,,13/5+8,,,,7/4+5,,,,,,,,,7/4+5,6/3+8,,11/1+11,9/3+8,8/4+6,,,,6/1+10,2/1+4,17/2+11,6/3+6,,8/1+10,,,,,,,,,,,,,,10/1+11,,,10/1+11,12/4+8,11/7+5,11/6+5,12/5+7,,,13/4+8,1/1+1,11/4+7,4/1+9,,4/2+5,,,,9/3+8,10/4+7,10/4+7,,,,5/3+5,5/3+5,,5/3+5,,,,9/4+6,,1/1+1,,,,,,7/3+8,,,,6/1+10,13/4+8,5/3+5,6/3+5,,,8/4+6,8/4+6,4/3+5,4/3+5,,6/1+10,,8/3+8
PhoenixEgg,1/1+2,3/2+2,2/1+2,3/2+2,1/1+1,2/1+2,2/1+2,2/1+2,,2/1+1,2/1+2,2/1+2,4/1+3,2/1+3,,4/2+2,3/1+2,2/1+2,2/1+3,2/1+1,2/1+3,2/1+2,2/1+2,2/1+2,2/1+1,2/1+2,2/1+2,,4/1+3,3/1+3,3/1+2,,,,2/1+2,1/1+1,5/1+3,2/1+2,2/1+2,3/1+2,2/1+2,,,2/1+2,2/1+2,3/2+3,,2/1+1,3/2+3,,2/1+2,,,3/1+3,,,3/1+3,4/1+3,7/2+3,6/2+3,4/2+2,2/1+2,,4/1+3,1/1+1,4/1+3,2/1+1,2/1+2,2/1+2,6/3+3,2/1+2,1/1+2,3/1+3,3/1+3,3/1+3,3/1+2,2/0+4,2/1+2,2/1+2,2/1+2,1/1+2,2/1+2,1/1+2,2/1+1,,3/2+2,2/1+2,1/1+1,1/1+2,,,3/1+2,4/1+3,3/1+3,2/1+2,3/2+2,4/1+3,2/1+2,4/1+3,2/1+2,2/1+2,2/1+2,,3/1+2,3/1+2,2/1+2,2/1+2,6/3+2,2/1+2,1/0+4,3/1+2
Prince,5/4+7,18/9+10,9/5+9,18/9+10,6/1+17,10/6+9,11/7+8,12/6+11,,9/1+19,10/6+11,10/6+11,24/9+13,8/4+10,,19/11+9,13/8+8,9/5+11,9/5+12,8/5+8,7/3+12,8/5+9,10/6+8,8/5+9,7/4+8,12/7+10,10/4+13,,20/1+20,17/6+14,15/7+11,,,,10/1+19,3/1+14,30/5+18,11/5+12,10/6+10,13/1+20,8/4+10,,,7/5+8,11/6+9,16/8+11,,9/5+9,16/8+11,,12/7+9,,,18/1+20,,,18/1+20,22/7+15,13/9+6,12/8+6,21/9+12,10/6+9,,24/7+15,2/1+10,19/8+12,8/1+18,8/4+10,7/4+8,12/10+6,10/6+10,3/2+5,17/5+15,18/8+12,18/8+12,14/8+9,8/2+16,10/6+8,9/6+7,9/6+7,3/2+4,9/6+7,5/4+7,8/6+6,,16/8+10,9/5+10,2/1+5,6/4+7,,,15/7+11,24/9+13,13/5+13,10/5+10,17/8+11,24/9+13,11/1+19,24/7+15,9/6+8,10/6+10,8/4+10,,15/7+11,15/8+10,7/4+9,7/4+9,34/19+10,10/1+19,2/1+7,15/6+13
Princess,1/1+2,3/1+2,2/1+2,3/1+2,1/1+1,2/1+1,2/1+1,2/1+2,,2/1+1,2/1+2,2/1+2,4/1+2,1/1+3,,3/1+2,2/1+2,2/1+2,2/1+3,2/1+1,1/0+3,2/1+2,2/1+1,1/1+2,1/1+1,2/1+1,2/1+2,,3/1+2,3/1+2,2/1+2,,,,2/1+1,1/1+1,5/0+3,2/1+2,2/1+2,2/1+2,1/1+2,,,1/1+2,2/1+1,3/1+2,,2/1+1,3/1+2,,2/1+2,,,3/1+2,,,3/1+2,3/1+2,6/2+3,6/2+3,3/1+2,2/1+1,,4/1+2,1/1+1,3/1+2,1/1+1,1/1+2,1/1+2,6/2+2,2/1+2,1/1+2,3/1+2,3/1+2,3/1+2,2/1+2,1/0+3,2/1+1,2/1+1,2/1+1,1/1+2,2/1+1,1/1+2,2/1+1,,3/1+2,2/1+2,1/1+1,1/1+2,,,2/1+2,4/1+2,2/1+3,2/1+2,3/1+2,4/1+2,2/1+1,4/1+2,2/1+1,2/1+1,1/1+2,,2/1+2,2/1+2,1/1+2,1/1+2,5/3+2,2/1+1,1/0+3,2/1+2
Rage,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/1+1,1/0+1,1/0+1
RageBarbarian,4/3+5,12/6+7,6/4+6,12/6+7,4/1+10,7/4+6,8/5+6,8/4+8,,6/1+12,7/4+7,7/4+7,16/6+9,5/3+8,,13/8+6,9/5+6,6/3+7,6/3+7,6/4+6,5/2+8,6/3+6,7/4+6,5/3+6,5/3+4,8/4+7,7/3+8,,13/1+13,11/4+9,10/5+7,,,,7/1+12,2/1+7,21/3+12,8/4+8,7/4+7,9/1+13,5/3+7,,,5/3+5,7/4+6,11/5+8,,6/4+6,11/5+8,,8/5+6,,,12/1+13,,,12/1+13,15/5+11,12/8+6,11/7+5,14/6+8,7/4+6,,16/5+10,2/1+3,13/5+9,5/1+12,5/3+6,5/3+6,11/8+5,7/4+6,2/2+4,11/4+11,12/5+9,12/5+9,10/6+6,5/2+11,7/4+5,6/4+5,6/4+5,2/2+4,6/4+5,4/3+5,6/4+4,,11/6+7,6/3+7,1/1+1,4/3+5,,,10/5+8,16/6+9,9/3+10,7/3+8,11/6+7,16/6+9,8/1+12,16/5+10,6/4+6,7/4+6,5/3+6,,10/5+7,10/5+7,5/3+5,5/3+5,23/13+7,7/1+12,1/1+4,10/4+9
RamRider,5/3+7,16/8+10,8/5+8,16/8+10,5/1+16,10/6+8,10/6+8,11/5+11,,8/1+17,10/5+9,10/5+9,22/8+13,7/4+10,,18/11+9,12/7+8,8/4+10,8/4+10,8/5+7,7/3+10,7/4+9,9/6+7,7/4+8,6/4+6,11/6+9,10/4+11,,18/1+19,16/5+13,14/7+9,,,,9/1+17,3/1+12,28/4+17,10/5+11,10/5+9,12/1+18,7/4+9,,,7/4+8,10/6+8,15/7+10,,8/5+7,15/7+10,,11/7+8,,,17/1+18,,,17/1+18,20/6+14,13/9+6,11/8+6,20/9+11,9/5+9,,22/6+14,2/1+8,17/7+12,7/1+17,7/4+8,6/4+8,12/10+6,10/5+9,3/2+4,16/5+13,17/7+12,17/7+12,13/8+8,7/2+14,9/6+7,9/6+7,9/6+7,3/2+4,9/6+7,5/3+7,7/5+6,,15/7+10,9/5+9,2/1+4,5/4+7,,,14/6+11,22/9+12,12/5+13,9/5+10,16/8+10,22/9+12,10/1+18,22/6+14,9/5+8,9/5+9,7/4+8,,14/7+9,14/7+10,7/4+7,7/4+7,31/17+9,10/1+18,2/1+5,14/5+12
RascalGirl,1/1+2,3/1+2,2/1+2,3/1+2,1/1+1,2/1+1,2/1+1,2/1+2,,2/1+1,2/1+2,2/1+2,4/1+2,1/1+3,,3/1+2,2/1+2,2/1+2,2/1+3,2/1+1,1/0+3,2/1+2,2/1+1,1/1+2,1/1+1,2/1+1,2/1+2,,3/1+2,3/1+2,2/1+2,,,,2/1+1,1/1+1,5/0+3,2/1+2,2/1+2,2/1+2,1/1+2,,,1/1+2,2/1+1,3/1+2,,2/1+1,3/1+2,,2/1+2,,,3/1+2,,,3/1+2,3/1+2,6/2+3,6/2+3,3/1+2,2/1+1,,4/1+2,1/1+1,3/1+2,1/1+1,1/1+2,1/1+2,6/2+2,2/1+2,1/1+2,3/1+2,3/1+2,3/1+2,2/1+2,1/0+3,2/1+1,2/1+1,2/1+1,1/1+2,2/1+1,1/1+2,2/1+1,,3/1+2,2/1+2,1/1+1,1/1+2,,,2/1+2,4/1+2,2/1+3,2/1+2,3/1+2,4/1+2,2/1+1,4/1+2,2/1+1,2/1+1,1/1+2,,2/1+2,2/1+2,1/1+2,1/1+2,5/3+2,2/1+1,1/0+3,2/1+2
Rascals,5/4+7,17/9+10,9/5+8,17/9+10,6/1+16,10/6+8,11/7+8,11/5+11,,8/1+18,10/5+10,10/5+10,23/8+13,7/4+10,,18/11+9,13/8+8,9/4+11,9/4+11,8/5+7,7/3+11,8/4+9,10/6+7,7/4+9,6/4+7,11/6+9,10/4+12,,19/1+19,16/6+13,14/7+10,,,,9/1+18,3/1+13,29/4+18,11/5+11,10/5+10,13/1+19,8/4+9,,,7/4+8,10/6+8,15/7+11,,8/5+8,15/7+11,,12/7+8,,,17/1+19,,,17/1+19,21/6+15,13/9+6,11/8+6,20/9+11,10/5+9,,23/7+14,2/1+9,18/7+12,7/1+17,7/4+9,6/4+8,12/10+6,10/5+10,3/2+4,16/5+14,18/7+12,18/7+12,14/8+8,7/2+15,9/6+7,9/6+7,9/6+7,3/2+4,9/6+7,5/4+7,8/5+6,,15/8+10,9/5+9,2/1+4,5/4+7,,,14/7+11,23/9+12,13/5+13,9/5+10,16/8+10,23/9+12,11/1+18,23/7+14,9/5+8,9/5+9,7/4+9,,14/7+10,14/7+10,7/4+8,7/4+8,32/18+9,10/1+18,2/1+6,14/5+13
Ronin,5/3+7,16/8+10,8/5+8,16/8+10,5/1+16,10/6+8,10/6+8,11/5+11,,8/1+17,10/5+9,10/5+9,22/8+13,7/4+10,,18/11+9,12/7+8,9/4+10,8/4+10,8/5+7,7/3+10,7/4+9,9/6+7,7/4+8,6/4+6,11/6+9,10/4+11,,18/1+19,16/5+13,14/7+10,,,,9/1+18,3/1+12,28/4+17,10/5+11,10/5+9,13/1+18,7/4+9,,,7/4+8,10/6+8,15/7+10,,8/5+7,15/7+10,,12/7+8,,,17/1+19,,,17/1+19,20/6+14,13/9+6,11/8+6,20/9+11,9/5+9,,22/7+14,2/1+8,18/7+12,7/1+17,7/4+8,6/4+8,12/10+6,10/5+9,3/2+4,16/5+13,17/7+12,17/7+12,13/8+8,7/2+14,9/6+7,9/6+7,9/6+7,3/2+4,9/6+7,5/3+7,7/5+6,,15/7+10,9/5+9,2/1+4,5/4+7,,,14/6+11,22/9+12,12/5+13,9/5+10,16/8+10,22/9+12,10/1+18,22/7+14,9/5+8,9/5+9,7/4+8,,14/7+10,14/7+10,7/4+8,7/4+8,31/17+9,10/1+18,2/1+5,14/5+12
RoyalDelivery,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/0+1,1/1+1,1/1+1,1/0+1,1/0+1
